Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P,2P,2PA,2P,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Jeremy Tyler,C,21,GSW,20,0,63,5.1,13.7,0.375,0,0,,5.1,13.7,0.375,2.3,3.4,0.667,3.4,6.3,9.7,0.6,0.6,1.1,3.4,5.7,12.6
Jeremy Tyler,C,21,ATL,1,0,5,0,0,,0,0,,0,0,,0,0,,0,21.6,21.6,0,0,0,0,0,0
Ekpe Udoh,C,25,MIL,76,9,1312,3.2,7.4,0.435,0,0,0,3.2,7.4,0.437,2.4,3.3,0.748,3.1,3.8,6.9,1.2,1.1,2.3,1.2,3.8,8.9
Beno Udrih,SG-PG,30,TOT,66,9,1457,5.2,11.8,0.441,0.8,2.5,0.333,4.3,9.2,0.471,2.1,2.5,0.816,0.8,2.6,3.5,7.5,1,0.1,2.7,2.2,13.3
Beno Udrih,SG,30,MIL,39,0,719,5.7,11.9,0.475,0.7,2.5,0.265,5,9.5,0.529,1.2,1.7,0.727,0.9,3.1,3.9,6.9,0.8,0.1,2.7,2,13.2
Beno Udrih,PG,30,ORL,27,9,738,4.7,11.6,0.408,1,2.6,0.396,3.7,9,0.411,2.9,3.4,0.857,0.8,2.2,3.1,8,1.2,0,2.7,2.5,13.4
Jonas Valanciunas,C,20,TOR,62,57,1482,5,8.9,0.557,0,0,,5,8.9,0.557,3.5,4.5,0.789,2.9,6.1,9,1.1,0.4,1.9,2.3,4.6,13.5
Anderson Varejao,C,30,CLE,25,25,901,5.5,11.5,0.478,0,0.2,0,5.5,11.3,0.486,3.1,4.1,0.755,5.5,8.9,14.4,3.4,1.5,0.6,1.8,2.7,14.1
Jarvis Varnado,PF,24,TOT,13,0,58,1.9,4.3,0.429,0,0,,1.9,4.3,0.429,1.2,2.5,0.5,1.2,4.3,5.6,1.9,0.6,1.2,3.7,6.2,5
Jarvis Varnado,PF,24,BOS,5,0,18,4,8,0.5,0,0,,4,8,0.5,4,8,0.5,2,4,6,2,2,0,2,2,12
Jarvis Varnado,PF,24,MIA,8,0,40,0.9,2.7,0.333,0,0,,0.9,2.7,0.333,0,0,,0.9,4.5,5.4,1.8,0,1.8,4.5,8.1,1.8
Greivis Vasquez,PG,26,NOH,78,78,2685,5.9,13.6,0.433,1.1,3.3,0.342,4.8,10.3,0.462,1.7,2.1,0.805,0.6,3.9,4.5,9.4,0.9,0.1,3.3,2.5,14.5
Jan Vesely,PF,22,WAS,51,4,601,3.4,6.8,0.5,0,0.1,0,3.4,6.8,0.504,0.7,2.3,0.308,2.6,4.7,7.3,1.7,0.9,1,1.6,6.4,7.5
Charlie Villanueva,PF,28,DET,69,0,1092,5.8,15.3,0.377,3,8.5,0.347,2.8,6.8,0.415,0.9,1.6,0.551,1.6,6.3,7.9,1.8,1,1.3,1.3,3.2,15.4
Nikola Vucevic,C,22,ORL,77,77,2559,6.5,12.5,0.519,0,0,0,6.5,12.5,0.52,1.2,1.8,0.683,3.8,9.1,12.9,2,0.9,1.1,2,3.1,14.2
Dwyane Wade,SG,31,MIA,69,69,2391,8.6,16.5,0.521,0.3,1,0.258,8.3,15.5,0.537,4.6,6.4,0.725,1.3,3.9,5.2,5.3,1.9,0.8,2.9,2.1,22
Dion Waiters,SG,21,CLE,61,48,1756,6.9,16.7,0.412,1.3,4.2,0.31,5.6,12.5,0.446,3.3,4.4,0.746,0.5,2.6,3.1,3.8,1.2,0.3,2.5,2.3,18.3
Kemba Walker,PG,22,CHA,82,82,2859,6.6,15.7,0.423,1.3,4.2,0.322,5.3,11.5,0.459,3.7,4.7,0.798,0.8,2.8,3.6,5.9,2,0.4,2.5,1.9,18.3
John Wall,PG,22,WAS,49,42,1602,7.3,16.5,0.441,0.3,1,0.267,7,15.5,0.452,5.5,6.9,0.804,0.8,3.6,4.4,8.4,1.5,0.8,3.5,2.6,20.4
Gerald Wallace,SF,30,BRK,69,68,2076,3.2,7.9,0.397,0.8,2.8,0.282,2.4,5.1,0.461,2.1,3.3,0.637,1.2,4.3,5.5,3.1,1.7,0.8,1.9,2,9.2
Rasheed Wallace,C,38,NYK,21,0,296,6.7,17.3,0.387,2.7,8.4,0.319,4,8.9,0.452,1.7,2.4,0.7,1.3,8.8,10.1,0.7,1.6,1.8,1.2,4.9,17.8
Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P,2P,2PA,2P,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Luke Walton,PF,32,CLE,50,0,857,3,7.6,0.392,0.8,2.8,0.299,2.1,4.8,0.447,0.4,0.8,0.5,1.6,4.5,6.1,7,1.8,0.5,2.5,4.1,7.2
Hakim Warrick,PF,30,TOT,28,14,489,4.9,12.1,0.406,0,0.2,0,4.9,11.9,0.414,4.4,6.5,0.682,1.5,5,6.6,1.8,1,0.4,2.1,2.7,14.3
Hakim Warrick,PF,30,NOH,1,0,7,5.1,10.3,0.5,0,0,,5.1,10.3,0.5,10.3,10.3,1,0,0,0,0,5.1,0,0,0,20.6
Hakim Warrick,PF,30,CHA,27,14,482,4.9,12.2,0.405,0,0.2,0,4.9,12,0.413,4.3,6.4,0.674,1.6,5.1,6.6,1.9,0.9,0.4,2.2,2.8,14.2
C.J. Watson,PG,28,BRK,80,8,1521,4.5,10.9,0.418,2.1,5.1,0.411,2.5,5.8,0.424,1.7,2.2,0.78,0.9,2.5,3.4,3.8,1.6,0.3,1.6,2.9,12.9
Earl Watson,PG,33,UTA,48,4,829,1.6,5.2,0.308,0.2,1.2,0.179,1.4,4,0.348,0.7,1.1,0.68,1,2.8,3.8,8.3,1.7,0.3,3,4.1,4.2
Maalik Wayns,PG,21,TOT,27,1,202,4.6,15.7,0.295,1.2,5.5,0.226,3.4,10.2,0.333,3,3.4,0.895,0.2,1.1,1.2,4.8,1.1,0,2.7,4.6,13.5
Maalik Wayns,PG,21,PHI,21,1,165,4.1,15.7,0.264,1.1,5.5,0.2,3.1,10.3,0.298,2.8,3.3,0.867,0.2,0.9,1.1,4.4,0.7,0,2.8,3.9,12.2
Maalik Wayns,PG,21,LAC,6,0,37,6.8,15.6,0.438,1.9,5.8,0.333,4.9,9.7,0.5,3.9,3.9,1,0,1.9,1.9,6.8,2.9,0,1.9,7.8,19.5
Martell Webster,SF,26,WAS,76,62,2200,4.6,10.4,0.442,2.3,5.4,0.422,2.3,5,0.463,2.7,3.2,0.848,0.9,3.9,4.8,2.3,0.8,0.3,1.5,2.7,14.2
David West,PF,32,IND,73,73,2435,7.4,14.9,0.498,0.1,0.3,0.211,7.4,14.6,0.503,3.6,4.7,0.768,2.1,6.2,8.3,3.1,1.1,1,2.3,2.2,18.5
Russell Westbrook,PG,24,OKC,82,82,2861,8.5,19.3,0.438,1.2,3.8,0.323,7.2,15.5,0.466,5.8,7.2,0.8,1.4,4,5.4,7.6,1.8,0.3,3.4,2.4,23.9
D.J. White,PF,26,BOS,12,0,86,5,9.6,0.522,0,0,,5,9.6,0.522,2.1,3.8,0.556,1.7,3.8,5.4,1.7,0.4,2.5,0.8,2.1,12.1
James White,SF,30,NYK,57,16,435,4.1,9.6,0.431,1.2,3.4,0.341,3,6.2,0.48,0.9,1.6,0.579,0.4,3.6,4,2.4,1.1,0.3,1.4,3.6,10.3
Chris Wilcox,C,30,BOS,61,7,830,4.8,6.6,0.719,0,0,0,4.8,6.6,0.724,1.7,2.5,0.672,2.4,5.4,7.8,1,1.4,1.2,1.5,5.4,11.2
Damien Wilkins,SG,33,PHI,61,21,1095,4.8,10.4,0.459,0.6,1.7,0.333,4.2,8.7,0.483,2.7,3.6,0.743,1.1,2.4,3.5,3,1.2,0.6,1.6,3.2,12.8
Deron Williams,PG,28,BRK,78,78,2842,6.3,14.2,0.44,2.1,5.7,0.378,4.1,8.6,0.482,4,4.7,0.859,0.4,2.6,2.9,7.7,1,0.4,2.8,2.5,18.7
Derrick Williams,PF,21,MIN,78,56,1916,6.4,14.8,0.43,1.2,3.7,0.332,5.1,11.1,0.463,3.6,5.1,0.706,1.8,6.3,8.1,0.9,0.8,0.7,1.9,2.4,17.5
Louis Williams,SG,26,ATL,39,9,1119,6,14.3,0.422,2.3,6.3,0.367,3.7,7.9,0.466,3.4,3.9,0.868,0.3,2.3,2.6,4.5,1.4,0.3,2.4,1.8,17.7
Marvin Williams,SF,26,UTA,73,51,1727,4.1,9.8,0.423,1.1,3.5,0.325,3,6.3,0.477,1.6,2.1,0.778,1.1,4.3,5.5,1.6,0.8,0.8,1.3,2,11
Mo Williams,PG,30,UTA,46,46,1418,5.8,13.5,0.43,1.5,3.9,0.383,4.3,9.6,0.449,1.9,2.2,0.882,0.6,2.2,2.8,7.2,1.2,0.2,3.2,2.7,15
Reggie Williams,SF,26,CHA,40,0,380,5.4,12.5,0.432,2.1,6.8,0.306,3.3,5.7,0.583,0.9,2,0.476,0.8,4.1,4.8,3.7,1.1,0.1,1.8,1.8,13.8
Terrence Williams,SF,25,BOS,24,0,318,5.4,11,0.495,0.6,1.7,0.333,4.9,9.3,0.524,1,2.4,0.429,0.5,4.5,5,4.3,1.2,0.2,2.5,1.5,12.5
Metta World Peace,SF,33,LAL,75,66,2530,4.7,11.7,0.403,2,5.9,0.342,2.7,5.9,0.464,1.8,2.4,0.734,1.4,3.9,5.3,1.6,1.7,0.6,1.4,2.8,13.2
Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P,2P,2PA,2P,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Brandan Wright,C,25,DAL,64,16,1149,7.6,12.7,0.597,0,0.1,0,7.6,12.6,0.601,1.8,3,0.615,2.7,5.5,8.1,1.2,0.8,2.4,1.1,2.4,17
Chris Wright,SG,23,DAL,3,0,4,9,18,0.5,0,0,,9,18,0.5,0,0,,0,0,0,0,0,0,9,0,18
Dorell Wright,SF,27,PHI,79,8,1783,4.8,12.1,0.396,2.7,7.3,0.374,2.1,4.8,0.429,2.4,2.8,0.851,0.8,5.2,6.1,3,1.3,0.7,1.3,2,14.7
Tony Wroten,SG,19,MEM,35,0,272,4.4,11.4,0.384,0.5,2.1,0.25,3.8,9.3,0.414,2.8,3.8,0.724,1.7,2,3.7,5.7,1.1,0.5,3.8,4.5,12
Nick Young,SG,27,PHI,59,17,1411,5.7,13.8,0.413,1.9,5.4,0.357,3.8,8.5,0.449,2.7,3.3,0.82,0.6,2.7,3.3,2.1,0.9,0.4,1.3,2.1,16
Sam Young,SG,27,IND,56,3,693,3,7.7,0.392,0.8,2.7,0.308,2.2,5,0.438,1.2,2.2,0.535,1.4,5,6.4,2.2,0.8,0.4,1.7,3.2,8.1
Thaddeus Young,PF,24,PHI,76,76,2629,7,13.1,0.531,0,0.1,0.125,7,13,0.535,1.5,2.6,0.574,2.5,5.3,7.8,1.7,1.8,0.8,1.2,2.6,15.4
Luke Zeller,C,25,PHO,16,0,58,5.6,16.1,0.346,0.6,3.1,0.2,5,13,0.381,0,0,,0.6,5.6,6.2,1.9,0,0,0,3.1,11.8
Tyler Zeller,C,23,CLE,77,55,2033,4.3,9.9,0.438,0,0.1,0,4.3,9.8,0.441,2.1,2.8,0.764,2.8,4.9,7.8,1.7,0.6,1.2,1.7,4.4,10.8
