Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P,2P,2PA,2P,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Jae Crowder,SF,24,DAL,25,0,265,4.5,10.3,0.434,1.8,5.2,0.342,2.7,5.2,0.526,1.4,1.5,0.909,1.6,2.3,3.9,1.6,2,0.7,1.4,3.5,12.1
Jae Crowder,SF,24,BOS,57,17,1382,5.1,12.2,0.418,1.3,4.4,0.282,3.9,7.8,0.495,2.6,3.4,0.762,1.6,5.3,6.9,2.1,1.5,0.5,1,2.9,14
Dante Cunningham,PF,27,NOP,66,27,1652,3.4,7.4,0.457,0,0.2,0.1,3.4,7.2,0.468,0.6,1,0.617,1.5,4.1,5.6,1.1,1,0.8,0.8,2.2,7.4
Jared Cunningham,SG,23,LAC,19,0,89,4.9,13.3,0.364,1.6,5.3,0.308,3.2,8.1,0.4,2.8,5.3,0.538,0.4,3.2,3.6,4,1.2,0,2.8,4.9,14.2
Seth Curry,PG,24,PHO,2,0,8,0,13.5,0,0,4.5,0,0,9,0,0,0,,0,9,9,4.5,0,0,0,9,0
Stephen Curry,PG,26,GSW,80,80,2613,9,18.5,0.487,3.9,8.9,0.443,5.1,9.6,0.528,4.2,4.6,0.914,0.8,3.9,4.7,8.5,2.2,0.2,3.4,2.2,26.2
Samuel Dalembert,C,33,NYK,32,21,544,3.8,8.6,0.438,0,0,,3.8,8.6,0.438,0.9,1.3,0.7,3.5,7.6,11.1,1.9,0.9,2.7,2.6,4.6,8.5
Troy Daniels,SG,23,TOT,47,0,397,5.5,15,0.37,3.9,10.7,0.364,1.6,4.3,0.383,1,1.2,0.846,0.7,2.3,3,2,0.5,0.1,1.8,3.6,16
Troy Daniels,SG,23,HOU,17,0,108,5,15.7,0.319,4.3,14.3,0.302,0.7,1.3,0.5,1,1.3,0.75,0,2,2,1.3,0,0,1.7,4.7,15.3
Troy Daniels,SG,23,MIN,19,0,154,4.4,13.8,0.322,3,9.1,0.333,1.4,4.7,0.3,0.5,0.5,1,1.4,3,4.4,3,0.7,0,1.9,3.3,12.4
Troy Daniels,SG,23,CHO,11,0,135,7.2,15.7,0.458,4.5,9.6,0.472,2.7,6.1,0.435,1.6,1.9,0.857,0.5,1.6,2.1,1.3,0.8,0.3,1.9,3.2,20.5
Luigi Datome,SF,27,TOT,21,1,209,7.4,15.3,0.483,3.1,6.9,0.45,4.3,8.4,0.51,0.2,0.2,1,0.5,4.5,5,1.6,0.3,1.2,1.6,2.6,18.1
Luigi Datome,SF,27,DET,3,0,17,10.6,25.4,0.417,2.1,8.5,0.25,8.5,16.9,0.5,0,0,,2.1,6.4,8.5,4.2,2.1,0,4.2,2.1,23.3
Luigi Datome,SF,27,BOS,18,1,192,7.1,14.4,0.494,3.2,6.8,0.472,3.9,7.7,0.512,0.2,0.2,1,0.4,4.3,4.7,1.3,0.2,1.3,1.3,2.6,17.6
Brandon Davies,PF,23,TOT,27,6,423,4.7,11.7,0.401,0.7,2.9,0.235,4,8.8,0.456,2,3.1,0.649,3.2,3.8,7.1,2.6,1.5,0.6,2.5,5,12.1
Brandon Davies,PF,23,PHI,20,6,379,4.7,11.3,0.412,0.7,2.8,0.233,4,8.5,0.472,2,3.1,0.636,3.3,3.6,6.9,2.7,1.6,0.4,2.4,5.1,12
Brandon Davies,PF,23,BRK,7,0,44,4.9,14.7,0.333,0.8,3.3,0.25,4.1,11.5,0.357,2.5,3.3,0.75,2.5,5.7,8.2,1.6,0.8,2.5,3.3,4.1,13.1
Anthony Davis,PF,21,NOP,68,68,2455,9.4,17.6,0.535,0,0.2,0.083,9.4,17.4,0.54,5.4,6.8,0.805,2.5,7.7,10.2,2.2,1.5,2.9,1.4,2.1,24.3
Ed Davis,PF,25,LAL,79,24,1840,5.5,9.2,0.601,0,0,,5.5,9.2,0.601,1.8,3.7,0.487,4.5,7.2,11.7,1.8,1,1.9,1.1,4,12.8
Glen Davis,PF,29,LAC,74,0,904,4.7,10.2,0.459,0,0.2,0,4.7,10,0.466,2.4,3.8,0.632,1.7,5,6.7,1.6,1.6,0.8,1.6,5.3,11.7
Andre Dawkins,SG,23,MIA,4,0,22,1.6,9.8,0.167,1.6,9.8,0.167,0,0,,0,0,,0,3.3,3.3,1.6,0,0,1.6,4.9,4.9
Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P,2P,2PA,2P,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Austin Daye,SF,26,TOT,34,4,344,5.2,14.8,0.355,2.5,7.4,0.338,2.7,7.3,0.371,0.5,0.6,0.833,1,6.8,7.8,1.8,1.3,0.5,2.4,4.1,13.5
Austin Daye,SF,26,SAS,26,4,268,5.4,15.4,0.348,2.6,7.7,0.333,2.8,7.8,0.362,0.5,0.5,1,0.8,7.4,8.2,1.2,1.1,0.4,2.4,4,13.8
Austin Daye,SF,26,ATL,8,0,76,4.7,12.3,0.385,2.4,6.6,0.357,2.4,5.7,0.417,0.5,0.9,0.5,1.9,4.7,6.6,3.8,1.9,0.9,2.4,4.3,12.3
Dewayne Dedmon,C,25,ORL,59,15,845,3.9,6.9,0.562,0,0,0,3.9,6.9,0.565,1.4,2.7,0.531,5,7.5,12.6,0.4,0.7,2.1,2.2,6,9.2
Matthew Dellavedova,SG,24,CLE,67,13,1380,2.9,8,0.362,1.8,4.4,0.407,1.1,3.7,0.307,0.8,1,0.763,1,2.3,3.3,5.3,0.6,0.1,1.6,4,8.3
Luol Deng,SF,29,MIA,72,72,2421,5.5,11.7,0.469,1.2,3.3,0.355,4.3,8.4,0.513,2.8,3.7,0.761,1.5,4.1,5.6,2.1,1,0.3,1.6,1.6,15
DeMar DeRozan,SG,25,TOR,60,60,2100,7,17,0.413,0.4,1.5,0.284,6.6,15.5,0.426,6.2,7.4,0.832,0.7,4,4.7,3.6,1.3,0.2,2.3,2.1,20.6
Boris Diaw,PF,32,SAS,81,15,1984,5.3,11.5,0.46,1,3.1,0.32,4.3,8.4,0.512,1.3,1.7,0.774,1.4,4.9,6.3,4.2,0.7,0.4,2.3,2.7,12.8
Gorgui Dieng,C,25,MIN,73,49,2193,4.3,8.4,0.506,0,0.1,0.167,4.2,8.3,0.51,3.1,4,0.783,3.7,6.3,10,2.4,1.2,2.1,2.1,3.1,11.7
Spencer Dinwiddie,PG,21,DET,34,1,455,4,13.4,0.302,0.9,5.1,0.185,3.1,8.2,0.375,2.5,2.7,0.912,0.3,3.5,3.8,8.2,1.5,0.5,2.6,4.2,11.5
Joey Dorsey,PF,31,HOU,69,17,854,3.4,6.1,0.552,0,0,0,3.4,6.1,0.556,1,3.5,0.289,4.3,7.4,11.8,1.1,1.7,1.1,1.7,6.6,7.8
Toney Douglas,PG,28,NOP,12,0,177,3.9,10.4,0.373,1,3.7,0.278,2.8,6.7,0.424,1.6,2.6,0.615,0.4,4.1,4.5,4.9,2.2,0.8,2,4.1,10.4
Chris Douglas-Roberts,SG,28,LAC,12,0,103,1.7,7.3,0.238,0.3,2.4,0.143,1.4,4.9,0.286,2.8,2.8,1,0.3,3.8,4.2,1.4,0.3,0,0,4.9,6.6
Goran Dragic,SG-PG,28,TOT,78,78,2640,6.8,13.7,0.501,1.2,3.5,0.347,5.6,10.1,0.555,2.5,3.2,0.774,1.1,2.6,3.7,4.8,1.1,0.2,2.4,2.7,17.4
Goran Dragic,SG,28,PHO,52,52,1735,7.1,14.1,0.501,1.4,3.9,0.355,5.7,10.2,0.556,2,2.7,0.746,1.1,2.8,3.8,4.4,1,0.2,2.4,2.5,17.5
Goran Dragic,PG,28,MIA,26,26,905,6.4,12.8,0.502,1,2.9,0.329,5.5,9.9,0.552,3.3,4.1,0.808,1.2,2.3,3.5,5.5,1.1,0.2,2.3,3,17.2
Zoran Dragic,SG,25,TOT,16,1,75,5.3,14.4,0.367,1.4,6.7,0.214,3.8,7.7,0.5,1.4,2.4,0.6,2.4,1.4,3.8,2.4,1,0,2.4,2.9,13.4
Zoran Dragic,SG,25,PHO,6,0,13,5.5,22.2,0.25,0,13.8,0,5.5,8.3,0.667,5.5,8.3,0.667,5.5,2.8,8.3,2.8,0,0,0,2.8,16.6
Zoran Dragic,SG,25,MIA,10,1,62,5.2,12.8,0.409,1.7,5.2,0.333,3.5,7.5,0.462,0.6,1.2,0.5,1.7,1.2,2.9,2.3,1.2,0,2.9,2.9,12.8
Larry Drew,PG,24,PHI,12,1,219,3.3,9.5,0.345,0.7,4.3,0.154,2.6,5.3,0.5,0.3,0.5,0.667,0.2,2.3,2.5,7.4,1,0,4.1,2.1,7.6
Andre Drummond,C,21,DET,82,82,2502,7.1,13.8,0.514,0,0,0,7.1,13.8,0.515,2,5.3,0.389,6.3,9.6,15.9,0.8,1.1,2.2,1.7,4.1,16.3
Jared Dudley,SG,29,MIL,72,22,1717,4.2,8.9,0.468,1.6,4,0.385,2.6,4.8,0.537,1,1.4,0.716,0.9,3.7,4.6,2.7,1.5,0.2,1.3,2.4,10.9
Tim Duncan,PF,38,SAS,77,77,2227,6.8,13.2,0.512,0,0.1,0.286,6.7,13.1,0.514,3.7,5,0.74,2.7,8.6,11.4,3.7,1,2.4,2.1,2.7,17.3
Mike Dunleavy,SF,34,CHI,63,63,1838,4.1,9.4,0.435,2.1,5.2,0.407,2,4.3,0.468,1.4,1.7,0.805,0.5,4.3,4.9,2.2,0.8,0.4,1.2,2.4,11.7
Kevin Durant,SF,26,OKC,27,27,913,9.4,18.4,0.51,2.5,6.3,0.403,6.9,12.1,0.565,5.8,6.7,0.854,0.6,6.4,7,4.3,0.9,1,2.9,1.6,27
Cleanthony Early,SF,23,NYK,39,7,647,4.2,11.9,0.355,1.2,4.7,0.262,3,7.2,0.415,2,2.7,0.75,1.2,4.2,5.4,2,1.3,0.7,2.2,3.2,11.7
Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P,2P,2PA,2P,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Wayne Ellington,SG,27,LAL,65,36,1675,5.5,13.3,0.412,1.9,5.2,0.37,3.5,8,0.439,1.1,1.4,0.813,0.7,3.8,4.5,2.3,0.7,0,1.1,1.7,14
Monta Ellis,SG,29,DAL,80,80,2699,8,18.1,0.445,1.1,3.8,0.285,6.9,14.3,0.487,3,4,0.752,0.5,2.1,2.5,4.4,2,0.3,2.6,2.6,20.2
James Ennis,SF,24,MIA,62,3,1051,3.5,8.5,0.409,1.1,3.3,0.326,2.4,5.2,0.461,2.7,3.2,0.84,1.7,4.3,6,1.6,0.9,0.6,1.3,3,10.7
Tyler Ennis,PG,20,TOT,33,1,411,4.6,12.6,0.361,1.1,3.8,0.279,3.5,8.8,0.396,0.4,0.6,0.714,0.6,2.5,3.1,6.4,1.6,0.4,3.7,3.2,10.6
Tyler Ennis,PG,20,PHO,8,0,58,5.6,13,0.429,1.2,3.7,0.333,4.3,9.3,0.467,1.2,1.2,1,0.6,3.7,4.3,8.7,0,1.2,5,1.9,13.7
Tyler Ennis,PG,20,MIL,25,1,353,4.4,12.5,0.35,1,3.8,0.27,3.4,8.8,0.384,0.3,0.5,0.6,0.6,2.2,2.9,6,1.8,0.3,3.5,3.4,10.1
Jeremy Evans,SF,27,UTA,38,0,266,4.3,7.8,0.552,0.3,0.7,0.4,4.1,7.2,0.566,3.2,3.9,0.828,3.5,6.1,9.6,1.8,1.5,1.6,0.7,3.9,12.2
Reggie Evans,PF,34,SAC,47,7,764,2.7,6.5,0.423,0,0.1,0,2.7,6.4,0.43,2.8,4.6,0.619,4.6,9.5,14.1,1.5,1,0.2,2.1,4.3,8.3
Tyreke Evans,SF,25,NOP,79,76,2690,7,15.6,0.447,0.9,3,0.304,6,12.6,0.482,2.7,3.9,0.694,1.1,4.5,5.6,7,1.3,0.5,3.3,2.6,17.6
Dante Exum,PG,19,UTA,82,41,1817,2.9,8.2,0.349,1.6,5.2,0.314,1.2,3,0.408,0.4,0.6,0.625,0.5,2.1,2.6,3.9,0.8,0.3,2.3,2.9,7.8
Festus Ezeli,C,25,GSW,46,7,504,5.4,9.9,0.547,0,0,,5.4,9.9,0.547,3.5,5.6,0.628,4.3,6.8,11.1,0.6,0.5,3,2.3,5.5,14.4
Kenneth Faried,PF,25,DEN,75,71,2086,6.4,12.7,0.507,0,0.1,0.125,6.4,12.6,0.511,3.4,5,0.691,4.2,7.4,11.5,1.5,1.1,1,2,3.6,16.3
Jordan Farmar,PG,28,LAC,36,0,529,4.2,10.8,0.386,2.4,6.6,0.361,1.8,4.2,0.426,0.7,0.7,0.909,0.5,2.3,2.9,4.6,1.4,0.3,2.2,3.5,11.4
Derrick Favors,PF,23,UTA,74,74,2280,7.6,14.5,0.525,0,0.1,0.167,7.6,14.4,0.527,3.5,5.2,0.669,3.1,6.5,9.6,1.8,0.9,1.9,1.9,3.3,18.7
Raymond Felton,PG,30,DAL,29,3,281,5.5,13.6,0.406,1.3,4.4,0.294,4.2,9.2,0.458,1.5,1.9,0.8,0.3,3.1,3.3,5.3,1.4,0.5,2.3,2.2,13.8
Landry Fields,SF,26,TOR,26,9,216,3.3,6.8,0.488,0.2,0.3,0.5,3.2,6.5,0.487,0.8,1,0.833,1.7,2.7,4.3,2.5,1.8,0,1.3,1.5,7.7
Evan Fournier,SG,22,ORL,58,32,1661,5.5,12.5,0.44,1.8,4.9,0.378,3.6,7.6,0.48,2.3,3.2,0.728,0.6,2.7,3.3,2.6,0.9,0,1.8,2.5,15.1
Randy Foye,SG,31,DEN,50,21,1087,4.9,13.3,0.368,3.1,8.7,0.357,1.8,4.6,0.388,1.5,1.8,0.818,0.3,2.5,2.8,3.9,1.1,0.4,2,3.2,14.4
Jamaal Franklin,SG,23,DEN,3,0,13,2.8,5.5,0.5,2.8,5.5,0.5,0,0,,0,0,,2.8,2.8,5.5,8.3,0,2.8,8.3,11.1,8.3
Tim Frazier,PG,24,TOT,11,3,239,3.2,9.2,0.344,0.8,2.6,0.294,2.4,6.6,0.364,1.5,3.2,0.476,0.9,3.3,4.2,9,1.2,0,3.8,3.9,8.6
Tim Frazier,PG,24,PHI,6,3,171,2.7,9.1,0.302,0.6,2.3,0.273,2.1,6.7,0.313,1.1,3.2,0.333,0.8,3.2,4,9.1,1.3,0,3.8,3.4,7.2
Tim Frazier,PG,24,POR,5,0,68,4.2,9.5,0.444,1.1,3.2,0.333,3.2,6.4,0.5,2.6,3.2,0.833,1.1,3.7,4.8,9,1.1,0,3.7,5.3,12.2
Jimmer Fredette,PG,25,NOP,50,0,509,4.5,11.7,0.38,0.6,3.4,0.188,3.8,8.3,0.458,3,3.2,0.956,0.6,2.3,2.8,4.1,1.1,0.1,2.3,3,12.6
Joel Freeland,C,27,POR,48,8,617,4.3,8.8,0.49,0,0,,4.3,8.8,0.49,1.2,1.5,0.84,3.6,7.5,11.1,0.9,0.5,1.3,1.3,5.4,9.9
Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P,2P,2PA,2P,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Channing Frye,PF,31,ORL,75,51,1870,3.7,9.4,0.392,2.6,6.7,0.393,1.1,2.7,0.39,0.6,0.7,0.886,0.5,5.1,5.6,1.8,0.9,0.8,1.5,3.7,10.6
Danilo Gallinari,SF,26,DEN,59,27,1426,5.8,14.3,0.401,2.7,7.6,0.355,3.1,6.7,0.453,4.3,4.8,0.895,0.8,4.7,5.5,2.1,1.2,0.5,1.4,2.4,18.5
Langston Galloway,PG,23,NYK,45,41,1457,5,12.6,0.399,1.5,4.3,0.352,3.5,8.3,0.424,1.6,1.9,0.808,0.9,3.8,4.7,3.7,1.3,0.3,1.5,3.2,13.2
Francisco Garcia,SF,33,HOU,14,0,200,3.1,11.3,0.27,1.8,8.1,0.222,1.3,3.2,0.389,0.2,0.7,0.25,0.5,2.5,3.1,2.7,1.6,0.9,1.8,3.6,8.1
Kevin Garnett,PF,38,TOT,47,47,952,5.4,11.6,0.467,0,0.3,0.143,5.4,11.3,0.475,1.4,1.7,0.8,1.8,9.9,11.8,2.9,1.7,0.6,1.7,4.1,12.2
Kevin Garnett,PF,38,BRK,42,42,854,5.3,11.6,0.455,0,0.3,0.167,5.2,11.3,0.461,1.4,1.7,0.829,1.9,10.1,12,2.9,1.7,0.5,1.9,4,12
Kevin Garnett,PF,38,MIN,5,5,98,6.6,11.4,0.581,0,0.4,0,6.6,11,0.6,0.7,1.5,0.5,0.7,8.8,9.6,2.9,1.8,1.5,0.4,4.8,14
Marc Gasol,C,30,MEM,81,81,2687,7.1,14.4,0.494,0,0.2,0.176,7.1,14.1,0.5,4.7,5.9,0.795,1.5,6.9,8.4,4.1,0.9,1.8,2.4,2.8,18.9
Pau Gasol,PF,34,CHI,78,78,2681,7.7,15.5,0.494,0.2,0.3,0.462,7.5,15.1,0.495,3.9,4.9,0.803,3,9.4,12.3,2.8,0.3,2,2.1,2,19.4
Rudy Gay,SF,28,SAC,68,67,2408,7.6,16.7,0.455,1.2,3.3,0.359,6.4,13.4,0.479,5,5.9,0.858,1.5,4.5,6,3.7,1.1,0.6,2.7,2.3,21.4
Alonzo Gee,SF,27,TOT,54,2,662,4.7,10.1,0.468,0.7,1.9,0.371,4,8.2,0.49,2.9,4.2,0.701,2,3.1,5.1,1.4,1.9,0.4,1.8,3.2,13.1
Alonzo Gee,SF,27,DEN,39,0,511,4.6,9.7,0.482,0.7,1.7,0.417,3.9,8,0.496,3.4,4.6,0.738,2,2.9,4.9,1.3,2,0.4,1.8,3,13.4
Alonzo Gee,SF,27,POR,15,2,151,5,11.7,0.429,0.7,2.6,0.273,4.3,9.1,0.474,1.4,2.9,0.5,1.9,3.8,5.7,1.4,1.7,0.2,1.9,3.8,12.2
Paul George,SF,24,IND,6,0,91,7.1,19.4,0.367,3.6,8.7,0.409,3.6,10.7,0.333,3.2,4.4,0.727,1.6,7.1,8.7,2.4,2,0.4,4.7,4.4,21
Taj Gibson,PF,29,CHI,62,17,1692,5.4,10.8,0.502,0,0,,5.4,10.8,0.502,2.8,3.9,0.717,3.4,5,8.4,1.5,0.8,1.6,1.6,3.4,13.6
Manu Ginobili,SG,37,SAS,70,0,1587,5.7,13.4,0.426,2,5.9,0.345,3.7,7.5,0.489,3.3,4.6,0.721,0.6,4.2,4.8,6.6,1.5,0.5,3.5,3.1,16.7
Rudy Gobert,C,22,UTA,82,37,2158,4.3,7.1,0.604,0,0,0,4.3,7.1,0.607,2.8,4.6,0.623,4.4,8.5,12.9,1.8,1.1,3.2,1.9,2.9,11.4
Drew Gooden,PF,33,WAS,51,7,864,4.6,11.5,0.399,1,2.5,0.39,3.6,9,0.401,1.4,1.8,0.773,3,6.3,9.3,2,0.9,0.4,1.2,3.8,11.5
Archie Goodwin,SG,20,PHO,41,2,535,5.3,13.5,0.393,0.8,2.8,0.293,4.5,10.8,0.419,4.1,5.6,0.735,1.8,3.2,5,3,1.2,0.6,3.2,3.7,15.5
Aaron Gordon,PF,19,ORL,47,8,797,4.2,9.4,0.447,0.6,2.2,0.271,3.6,7.2,0.5,2,2.8,0.721,2.1,5.6,7.6,1.5,0.9,1,1.7,3.7,11
Ben Gordon,SG,31,ORL,56,0,790,5.9,13.4,0.437,1.6,4.4,0.361,4.3,9,0.475,2.6,3.1,0.836,0.3,2.6,2.9,2.3,0.6,0,2.5,2.7,15.9
Drew Gordon,C,24,PHI,9,0,71,4.1,9.6,0.421,0,1.5,0,4.1,8.1,0.5,0.5,1,0.5,3.5,5.6,9.1,1,0.5,0,4.1,3.5,8.6
Eric Gordon,SG,26,NOP,61,60,2018,5.1,12.4,0.411,2.5,5.6,0.448,2.6,6.8,0.38,1.9,2.4,0.805,0.5,2.3,2.8,4.1,0.9,0.2,2.2,2.6,14.6
Marcin Gortat,C,30,WAS,82,82,2453,6.4,11.4,0.566,0,0,0,6.4,11.3,0.569,1.8,2.6,0.703,2.6,7.9,10.5,1.4,0.7,1.6,1.5,2.8,14.7
Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P,2P,2PA,2P,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Danny Granger,SF,31,MIA,30,6,613,3.8,9.5,0.401,1.8,4.9,0.357,2.1,4.6,0.449,1.6,2.2,0.757,1.2,3.5,4.7,1,0.8,0.4,1.4,3.9,11
Jerami Grant,SF,20,PHI,65,11,1377,3.2,9.2,0.352,1.3,4.1,0.314,2,5.1,0.383,3,5,0.591,1.3,3.9,5.2,2.1,1,1.8,2.2,3.8,10.7
Danny Green,SG,27,SAS,81,80,2312,5,11.5,0.436,3,7.1,0.418,2,4.4,0.466,1.7,2,0.874,0.8,4.5,5.3,2.5,1.6,1.4,1.4,2.5,14.7
Draymond Green,SF,24,GSW,79,79,2490,4.9,11.1,0.443,1.6,4.8,0.337,3.3,6.3,0.523,1.9,2.9,0.66,1.6,7.7,9.4,4.2,1.8,1.4,1.9,3.7,13.3
Erick Green,PG,23,DEN,43,1,410,5.4,14.2,0.377,1.2,4.1,0.298,4.1,10.1,0.409,0.9,1.1,0.833,0.6,2.1,2.7,3.4,1.1,0,1.2,2.3,12.8
Gerald Green,SG,29,PHO,74,4,1446,8.1,19.4,0.416,3.4,9.6,0.354,4.7,9.7,0.478,2.5,3,0.825,0.8,3.8,4.6,2.3,1,0.3,2.6,3.6,22
JaMychal Green,PF,24,TOT,24,1,164,5.9,10.3,0.574,0,1.3,0,5.9,9,0.659,1.8,2.2,0.8,4.2,5.7,9.9,0.9,1.1,1.1,3.1,5.5,13.6
JaMychal Green,PF,24,SAS,4,0,25,5.8,10.1,0.571,0,2.9,0,5.8,7.2,0.8,0,0,,4.3,4.3,8.6,0,0,2.9,2.9,8.6,11.5
JaMychal Green,PF,24,MEM,20,1,139,6,10.4,0.575,0,1,0,6,9.3,0.639,2.1,2.6,0.8,4.1,6,10.1,1,1.3,0.8,3.1,4.9,14
Jeff Green,SF,28,TOT,78,70,2454,6.1,14.2,0.43,1.4,4.3,0.332,4.7,9.9,0.473,3.5,4.2,0.833,0.9,3.9,4.8,2,0.8,0.5,1.6,2.2,17.1
Jeff Green,SF,28,BOS,33,33,1093,6.8,15.6,0.434,1.5,5.1,0.305,5.2,10.6,0.495,4,4.7,0.84,0.7,4,4.6,1.7,0.9,0.4,1.8,2.2,19.1
Jeff Green,SF,28,MEM,45,37,1361,5.6,13,0.427,1.3,3.7,0.362,4.2,9.4,0.452,3.1,3.8,0.825,1.1,3.8,4.9,2.1,0.7,0.6,1.4,2.1,15.6
Willie Green,SG,33,ORL,52,2,951,4.5,11.6,0.386,1.6,4.6,0.347,2.9,7,0.411,1.1,1.3,0.824,0.5,2.5,3,2.6,1,0.2,1.8,3.1,11.6
Blake Griffin,PF,25,LAC,67,67,2356,8.8,17.5,0.502,0.2,0.4,0.4,8.6,17.1,0.504,4.8,6.5,0.728,1.9,5.8,7.8,5.4,1,0.5,2.3,3,22.4
Jorge Gutierrez,PG,26,TOT,20,1,175,4.5,8.4,0.537,0,0.6,0,4.5,7.8,0.579,1.9,2.7,0.692,1,4.1,5.1,4.5,1.2,0,2.5,5.1,10.9
Jorge Gutierrez,PG,26,BRK,10,0,44,5.7,11.5,0.5,0,0.8,0,5.7,10.6,0.538,1.6,2.5,0.667,0,5.7,5.7,5.7,0.8,0,2.5,7.4,13.1
Jorge Gutierrez,PG,26,MIL,10,1,131,4.1,7.4,0.556,0,0.5,0,4.1,6.9,0.6,1.9,2.7,0.7,1.4,3.6,4.9,4.1,1.4,0,2.5,4.4,10.2
P.J. Hairston,SG,22,CHO,45,2,687,4.6,14.1,0.323,2.6,8.5,0.301,2,5.6,0.358,1.6,1.9,0.861,1.2,3.7,4.8,1.1,1.1,0.7,1.2,3.2,13.3
Jordan Hamilton,SF,24,LAC,14,2,122,4.1,10.3,0.4,3,6.2,0.476,1.2,4.1,0.286,0,0,,0.6,4.1,4.7,2.1,0.6,0,1.2,4.1,11.2
Justin Hamilton,C,24,TOT,41,14,712,4.3,9,0.478,0.5,1.6,0.323,3.8,7.4,0.51,2,2.4,0.83,2.9,3.9,6.8,1.8,1.4,1.5,1.3,3.5,11.1
Justin Hamilton,C,24,MIA,24,5,289,3.4,8.1,0.415,0.7,2.4,0.316,2.6,5.7,0.457,0.7,0.9,0.857,3,3,6,1.5,1,0.6,1,4.1,8.2
Justin Hamilton,C,24,MIN,17,9,423,4.9,9.6,0.513,0.3,1,0.333,4.6,8.6,0.535,2.8,3.4,0.825,2.8,4.5,7.3,2,1.6,2.1,1.5,3.1,13
Tyler Hansbrough,PF,29,TOR,74,8,1058,2.9,5.6,0.521,0,0.2,0.143,2.9,5.4,0.538,3.3,4.7,0.698,3.6,5.4,9,0.7,1,0.5,0.7,4.8,9.2
Tim Hardaway,SG,22,NYK,70,30,1681,6,15.4,0.389,2.6,7.6,0.342,3.4,7.8,0.435,2.7,3.3,0.801,0.3,3.1,3.3,2.7,0.4,0.3,1.8,2.5,17.2
James Harden,SG,25,HOU,81,81,2981,7.8,17.8,0.44,2.5,6.7,0.375,5.3,11,0.48,8.6,10,0.868,0.9,4.6,5.5,6.8,1.9,0.7,3.9,2.5,26.8
Maurice Harkless,SF,21,ORL,45,4,674,3.4,8.4,0.399,0.5,3,0.179,2.8,5.4,0.52,1.2,2.2,0.537,2,3.6,5.7,1.3,1.7,0.5,1.4,3.5,8.4
Devin Harris,PG,31,DAL,76,3,1685,4.7,11.2,0.418,2,5.7,0.357,2.6,5.5,0.481,2.8,3.5,0.815,0.3,2.6,2.9,5.1,1.7,0.3,1.8,3.1,14.2
Gary Harris,SG,20,DEN,55,6,719,3.3,10.9,0.304,1.1,5.2,0.204,2.3,5.7,0.395,1.8,2.4,0.745,1.1,2.2,3.2,1.5,2,0.4,1.9,3.6,9.4
Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P,2P,2PA,2P,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Joe Harris,SG,23,CLE,51,1,493,3.5,8.8,0.4,2.3,6.1,0.369,1.2,2.6,0.472,0.7,1.1,0.6,0.5,2.5,3,1.9,0.5,0.1,2,4.5,9.9
Tobias Harris,SF,22,ORL,68,63,2369,6.7,14.4,0.466,1.3,3.6,0.364,5.4,10.8,0.5,2.9,3.7,0.788,1.1,5.4,6.5,1.9,1,0.5,1.7,2,17.7
Udonis Haslem,PF,34,MIA,62,25,995,3.9,8.6,0.448,0.1,0.4,0.2,3.8,8.3,0.459,1.6,2.3,0.703,2.6,6.8,9.3,1.7,0.8,0.5,1.5,4.1,9.4
Spencer Hawes,PF,26,LAC,73,15,1274,4.6,11.7,0.393,1.6,5,0.313,3.1,6.8,0.452,1.2,1.9,0.647,0.8,6.4,7.3,2.5,0.7,1.5,1.7,4.9,12
Chuck Hayes,C,31,TOR,29,0,255,3.1,6.5,0.478,0,0,,3.1,6.5,0.478,0.8,1.6,0.545,2.5,4.7,7.2,2.8,1.4,0.6,1.1,5.2,7.1
Gordon Hayward,SF,24,UTA,76,76,2618,6.7,14.9,0.445,1.7,4.5,0.364,5,10.4,0.481,5.2,6.4,0.812,0.7,4.4,5.1,4.3,1.5,0.4,2.8,1.8,20.1
Brendan Haywood,C,35,CLE,22,1,119,4.2,9.1,0.467,0,0,,4.2,9.1,0.467,2.1,3.9,0.538,1.8,7,8.8,0.6,0.6,3,3,5.1,10.6
Gerald Henderson,SG,27,CHO,80,72,2315,5.8,13.2,0.437,0.7,2.1,0.331,5.1,11.1,0.457,2.9,3.4,0.848,0.6,3.7,4.2,3.2,0.8,0.3,1.7,2.1,15.1
